"Year","County","Oil (BBLs)","Natural Gas (MCF)","Water (BBLs)"
"2010","EMERY","6106","14389866","4933753"
"2010","SANPETE","37099","373280","11120"
"2010","SAN JUAN","3898481","9656026","42081016"
"2010","CARBON","46254","83619761","17466962"
"2010","DAGGETT","480","1026185","2009"
"2010","DUCHESNE","10916835","35834914","24221801"
"2010","GARFIELD","169698","9125","10014734"
"2010","GRAND","117603","4487035","30874"
"2010","SEVIER","2622401","0","2922662"
"2010","SUMMIT","244280","7219035","6495001"
"2010","UINTAH","6606384","283314145","51563211"
"2011","CARBON","73360","90295281","16953851"
"2011","DAGGETT","638","905841","1367"
"2011","GARFIELD","166534","9125","10047189"
"2011","GRAND","82710","4127064","35707"
"2011","SEVIER","2521790","0","3348402"
"2011","SUMMIT","233559","6360941","6309431"
"2011","UINTAH","7021699","298582775","52895916"
"2011","DUCHESNE","11940230","40279564","29759147"
"2011","EMERY","3295","12415638","4534571"
"2011","SAN JUAN","4220343","9382308","41529633"
"2011","SANPETE","12164","136786","4044"
"2012","CARBON","80859","90976211","14206441"
"2012","DAGGETT","348","548399","218"
"2012","GARFIELD","154566","9150","9848260"
"2012","GRAND","363559","4148601","31074"
"2012","SEVIER","2219376","0","3701076"
"2012","UINTAH","8367338","328214209","48224248"
"2012","DUCHESNE","14415391","41573622","34962360"
"2012","EMERY","2440","10904775","4224240"
"2012","SAN JUAN","4403820","9279194","45573207"
"2012","SUMMIT","196085","4921147","6112028"
"2013","GRAND","1094061","4341425","75812"
"2013","SEVIER","1885987","0","3881938"
"2013","EMERY","1569","10256046","4347838"
"2013","CARBON","38139","71645926","12369744"
"2013","DAGGETT","444","361393","318"
"2013","DUCHESNE","16540818","43945422","39168153"
"2013","GARFIELD","152558","7625","10255741"
"2013","SAN JUAN","4572248","9813273","50092572"
"2013","SUMMIT","209828","3857153","6052584"
"2013","UINTAH","10506120","326120513","53576926"
"2014","CARBON","61031","61210148","11196366"
"2014","GRAND","1341026","4451024","243464"
"2014","SEVIER","1609592","0","4150736"
"2014","DAGGETT","867","1438737","927"
"2014","EMERY","1255","9445358","3923036"
"2014","DUCHESNE","19467972","49676702","43384252"
"2014","GARFIELD","153002","8350","10268481"
"2014","SAN JUAN","4574932","10588556","50418265"
"2014","SUMMIT","218188","3607411","5928377"
"2014","UINTAH","13486558","309598050","61226753"
"2015","CARBON","87968","69382875","11081830"
"2015","DAGGETT","601","1103337","612"
"2015","GRAND","913982","4496603","288941"
"2015","SEVIER","1432936","0","4441464"
"2015","DUCHESNE","17113980","41754816","40123388"
"2015","EMERY","184","8630719","3486639"
"2015","SAN JUAN","4374969","11511312","49272346"
"2015","SANPETE","95997","796449","66268"
"2015","GARFIELD","146922","8350","10068731"
"2015","SUMMIT","191312","3706767","5687253"
"2015","UINTAH","12777507","275631755","63119396"
"2016","CARBON","79247","55684110","10169941"
"2016","DAGGETT","746","1336934","714"
"2016","GRAND","517633","4104822","225228"
"2016","SEVIER","1257711","0","4497334"
"2016","SAN JUAN","4243892","10157132","47952742"
"2016","SANPETE","95073","878826","29626"
"2016","DUCHESNE","13895726","35952110","35639838"
"2016","EMERY","608","8143306","3998062"
"2016","GARFIELD","133117","9150","8780211"
"2016","SUMMIT","187225","2964585","5772731"
"2016","UINTAH","10117371","246050467","42161954"
"2017","CARBON","57792","46883601","8939294"
"2017","DAGGETT","803","1078305","678"
"2017","EMERY","571","7466663","3042729"
"2017","DUCHESNE","16986437","38971837","40049613"
"2017","GARFIELD","139199","9125","9921944"
"2017","GRAND","407603","3596442","200427"
"2017","SEVIER","1196170","0","4592107"
"2017","SUMMIT","169161","2082449","5967084"
"2017","SAN JUAN","4112573","8876914","42764535"
"2017","SANPETE","88428","812196","30957"
"2017","JUAB","236","0","309"
"2017","UINTAH","11278096","205419493","39538441"
"2018","DAGGETT","581","781050","518"
"2018","EMERY","347","6952008","2993682"
"2018","SAN JUAN","3916280","9647060","45315431"
"2018","SANPETE","76510","708139","31840"
"2018","CARBON","47386","42229697","8039341"
"2018","DUCHESNE","19003004","42470419","42620937"
"2018","GARFIELD","133801","9125","9637621"
"2018","GRAND","349571","3062669","175521"
"2018","SEVIER","1269427","0","4330519"
"2018","SUMMIT","173320","1980016","5305224"
"2018","UINTAH","12146235","187985791","42107521"
"2019","CARBON","43181","38516144","8093621"
"2019","DAGGETT","533","981362","553"
"2019","GARFIELD","125868","9125","9580339"
"2019","GRAND","237344","2664931","171412"
"2019","SEVIER","1330640","0","4740810"
"2019","SUMMIT","168517","1807140","5391714"
"2019","UINTAH","10970021","167556585","38956334"
"2019","DUCHESNE","20184681","43334203","44158053"
"2019","EMERY","220","6384177","3069585"
"2019","SAN JUAN","3792738","9966296","45871057"
"2019","SANPETE","71819","666573","35205"
